LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1734687909.636145,213132.000,32860,2,GY,1,100,0.031
1734687909.676144,213172.000,32877,3,GY,1,100,-0.366
1734687909.716144,213212.000,32877,3,GY,1,100,-0.763
1734687909.756144,213252.000,32877,3,GY,1,100,0.092
1734687909.796144,213292.000,32893,2,GY,1,100,0.244
1734687909.836143,213332.000,32893,2,GY,1,100,-0.580
1734687909.876143,213372.000,32910,3,GY,1,100,-0.549
1734687909.916143,213412.000,32910,3,GY,1,100,-0.946
1734687909.956142,213452.000,32910,3,GY,1,100,-1.587
1734687909.996142,213492.000,32933,4,GY,1,100,-0.214
1734687910.036142,213532.000,32933,4,GY,1,100,1.221
1734687910.076142,213572.000,32933,4,GY,1,100,2.167
1734687910.116141,213612.000,32933,4,GY,1,100,-0.183
1734687910.156141,213652.000,32948,3,GY,1,100,-0.977
1734687910.196141,213692.000,32948,3,GY,1,100,0.305
1734687910.236140,213732.000,32948,3,GY,1,100,-0.946
1734687910.276140,213772.000,32965,2,GY,1,100,-0.092
1734687910.316140,213812.000,32965,2,GY,1,100,-0.763
