LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1734243949.078397,907952.500,15520,4,DC,2,100,EL
1734243949.103897,907978.000,15520,4,DC,2,100,2
1734243949.128897,908003.000,15537,4,DC,2,100,EA
1734243949.153898,908028.000,15537,4,DC,2,100,1
1734243949.178898,908053.000,15537,4,DC,2,100,EL
1734243949.203898,908078.000,15537,4,DC,2,100,1
1734243949.229398,908103.500,15554,4,DC,2,100,EA
1734243949.254899,908129.000,15554,4,DC,2,100,2
1734243949.280399,908154.500,15554,4,DC,2,100,EL
1734243949.305899,908180.000,15554,4,DC,2,100,2
1734243949.331900,908206.000,15573,4,DC,2,100,EA
1734243949.357900,908232.000,15573,4,DC,2,100,1
1734243949.383900,908258.000,15573,4,DC,2,100,EL
1734243949.409901,908284.000,15573,4,DC,2,100,1
1734243949.434401,908308.500,15591,4,DC,2,100,EA
1734243949.458901,908333.000,15591,4,DC,2,100,2
1734243949.483402,908357.500,15591,4,DC,2,100,EL
1734243949.507902,908382.000,15591,4,DC,2,100,2
1734243949.533402,908407.500,15608,4,DC,2,100,EA
1734243949.558902,908433.000,15608,4,DC,2,100,1
1734243949.584403,908458.500,15608,4,DC,2,100,EL
1734243949.609903,908484.000,15608,4,DC,2,100,1
1734243949.635403,908509.500,15625,4,DC,2,100,EA
1734243949.660903,908535.000,15625,4,DC,2,100,2
1734243949.686404,908560.500,15625,4,DC,2,100,EL
1734243949.711904,908586.000,15625,4,DC,2,100,2
1734243949.736904,908611.000,15642,4,DC,2,100,EA
1734243949.761905,908636.000,15642,4,DC,2,100,1
1734243949.786905,908661.000,15642,4,DC,2,100,EL
1734243949.811905,908686.000,15642,4,DC,2,100,1
1734243949.837156,908711.250,15660,4,DC,2,100,EA
1734243949.862406,908736.500,15660,4,DC,2,100,2
1734243949.887656,908761.750,15660,4,DC,2,100,EL
1734243949.912906,908787.000,15660,4,DC,2,100,2
1734243949.938407,908812.500,15678,4,DC,2,100,EA
1734243949.963907,908838.000,15678,4,DC,2,100,1
1734243949.989407,908863.500,15678,4,DC,2,100,EL
1734243950.014908,908889.000,15678,4,DC,2,100,1
1734243950.040408,908914.500,15694,4,DC,2,100,EA
1734243950.065908,908940.000,15694,4,DC,2,100,2
1734243950.091408,908965.500,15694,4,DC,2,100,EL
1734243950.116909,908991.000,15694,4,DC,2,100,2
1734243950.142159,909016.250,15711,4,DC,2,100,EA
1734243950.167409,909041.500,15711,4,DC,2,100,1
1734243950.192660,909066.750,15711,4,DC,2,100,EL
1734243950.217910,909092.000,15711,4,DC,2,100,1
1734243950.243160,909117.250,15730,4,DC,2,100,EA
1734243950.268410,909142.500,15730,4,DC,2,100,2
1734243950.293661,909167.750,15730,4,DC,2,100,EL
1734243950.318911,909193.000,15730,4,DC,2,100,2
1734243950.343911,909218.000,15747,4,DC,2,100,EA
1734243950.368912,909243.000,15747,4,DC,2,100,1
1734243950.393912,909268.000,15747,4,DC,2,100,EL
1734243950.418912,909293.000,15747,4,DC,2,100,1
1734243950.444412,909318.500,15764,4,DC,2,100,EA
1734243950.469913,909344.000,15764,4,DC,2,100,2
1734243950.495413,909369.500,15764,4,DC,2,100,EL
1734243950.520913,909395.000,15764,4,DC,2,100,2
1734243950.546664,909420.750,15781,4,DC,2,100,EA
1734243950.572414,909446.500,15781,4,DC,2,100,2
1734243950.598164,909472.250,15781,4,DC,2,100,EL
1734243950.623915,909498.000,15781,4,DC,2,100,2
1734243950.648915,909523.000,15799,4,DC,2,100,EA
1734243950.673915,909548.000,15799,4,DC,2,100,1
1734243950.698915,909573.000,15799,4,DC,2,100,EL
1734243950.723916,909598.000,15799,4,DC,2,100,1
1734243950.750916,909625.000,15816,4,DC,2,100,EA
1734243950.777916,909652.000,15816,4,DC,2,100,2
1734243950.804917,909679.000,15816,4,DC,2,100,EL
1734243950.831917,909706.000,15816,4,DC,2,100,2
1734243950.855167,909729.250,15834,4,DC,2,100,EA
1734243950.878417,909752.500,15834,4,DC,2,100,1
1734243950.901668,909775.750,15834,4,DC,2,100,EL
1734243950.924918,909799.000,15834,4,DC,2,100,1
1734243950.950418,909824.500,15850,4,DC,2,100,EA
1734243950.975919,909850.000,15850,4,DC,2,100,2
1734243951.001419,909875.500,15850,4,DC,2,100,EL
1734243951.026919,909901.000,15850,4,DC,2,100,2
1734243951.052670,909926.750,15868,4,DC,2,100,EA
1734243951.078420,909952.500,15868,4,DC,2,100,1
1734243951.104170,909978.250,15868,4,DC,2,100,EL
1734243951.129920,910004.000,15868,4,DC,2,100,1
1734243951.155421,910029.500,15885,4,DC,2,100,EA
1734243951.180921,910055.000,15885,4,DC,2,100,2
1734243951.206421,910080.500,15885,4,DC,2,100,EL
