LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1734686328.292950,604724.000,31262,3,AY,1,100,-0.021
1734686328.332952,604764.000,31262,3,AY,1,100,-0.036
1734686328.372953,604804.000,31262,3,AY,1,100,-0.047
1734686328.412955,604844.000,31280,3,AY,1,100,-0.033
1734686328.452956,604884.000,31280,3,AY,1,100,-0.013
1734686328.492958,604924.000,31280,3,AY,1,100,-0.022
1734686328.532959,604964.000,31295,2,AY,1,100,-0.033
1734686328.572961,605004.000,31295,2,AY,1,100,-0.034
1734686328.608629,605039.667,31313,3,AY,1,100,-0.038
1734686328.644297,605075.333,31313,3,AY,1,100,-0.035
1734686328.679965,605111.000,31313,3,AY,1,100,-0.032
